date,steps,distance,runDistance,calories
2022-01-01,1586,993,242,25
2022-01-02,1919,1178,142,30
2022-01-03,2809,1703,224,41
2022-01-04,7196,4673,415,116
2022-01-05,6854,4400,364,118
2022-01-06,6765,4269,405,110
2022-01-07,8613,5507,689,137
2022-01-08,3455,2090,297,54
2022-01-09,2620,1585,172,44
2022-01-10,7739,4797,599,125
2022-01-11,3838,2406,199,63
2022-01-12,8595,5561,467,143
2022-01-13,8410,5292,632,138
2022-01-14,10320,6619,656,172
2022-01-15,2482,1563,283,40
2022-01-16,10055,6139,735,151
2022-01-17,5938,4530,3184,172
2022-01-18,190,115,37,4
2022-01-19,13479,9739,4548,324
2022-01-20,5749,3657,680,102
2022-01-21,12859,9087,4110,302
2022-01-22,6101,3802,626,101
2022-01-23,8996,5633,586,147
2022-01-24,8476,5415,720,146
2022-01-25,0,0,0,0
2022-01-26,7926,4997,590,128
2022-01-27,7666,4986,658,127
2022-01-28,9075,5612,590,154
2022-01-29,15467,9957,1421,264
2022-01-30,6922,5332,3782,207
2022-01-31,8893,5774,491,149
2022-02-01,4477,2828,373,80
2022-02-02,6556,4128,638,111
2022-02-03,14341,10199,325,266
2022-02-04,1223,742,74,18
2022-02-05,3556,2182,354,62
2022-02-06,487,295,69,8
2022-02-07,8830,5595,679,144
2022-02-08,6215,3888,559,103
2022-02-09,0,0,0,0
2022-02-10,7158,4672,316,122
2022-02-11,6678,4077,635,117
2022-02-12,14725,9329,1497,244
2022-02-13,5663,3492,429,93
2022-02-14,5768,4610,3557,181
2022-02-15,9539,6438,2106,198
2022-02-16,4702,2956,439,80
2022-02-17,7452,4839,640,130
2022-02-18,7065,4438,510,116
2022-02-19,8342,5078,707,134
2022-02-20,4881,2990,382,78
2022-02-21,5321,3362,456,91
2022-02-22,8509,5417,645,151
2022-02-23,4394,2846,571,81
2022-02-24,183,111,13,3
2022-10-10,12715,10372,8794,422
2022-10-11,7971,5117,636,133
2022-10-12,17037,12453,6475,410
2022-10-13,16857,12298,5802,416
2022-10-14,15875,11587,5559,388
2022-10-15,7724,5738,3222,200
2022-10-16,2037,1235,154,32
2022-10-17,19562,14534,7482,503
2022-10-18,16946,12157,5509,385
2022-10-19,12357,8771,3600,284
2022-10-20,10478,6624,807,169
2022-10-21,31073,21662,7119,650
2022-10-22,8835,5455,664,138
2022-10-23,5377,3316,417,87
2022-10-24,2211,1364,206,33
2022-10-25,7025,4537,638,116
2022-10-26,15740,11131,4737,351
2022-10-27,0,0,0,0
2022-10-28,0,0,0,0
2022-10-29,4299,2674,422,75
2022-10-30,1895,1146,99,29
2022-10-31,9127,5781,554,147
2022-11-01,14395,9894,3216,286
2022-11-02,17,10,0,1
2022-11-03,657,397,49,10
2022-11-04,7271,4587,396,117
2022-11-05,8900,5658,669,147
2022-11-06,11248,8818,6742,353
2022-11-07,9692,6214,791,157
2022-11-08,6625,4192,361,112
2022-11-09,7201,4609,596,119
2022-11-10,8029,5143,885,137
2022-11-11,9752,6031,1370,163
2022-11-12,8704,5319,809,143
2022-11-13,4205,2597,380,70
2022-11-14,7119,4472,592,114
2022-11-15,5122,3220,454,86
2022-11-16,6581,4124,584,112
2022-11-17,9554,6253,642,165
2022-11-18,6440,4110,458,110
2022-11-19,4377,2695,620,71
2022-11-20,4125,2543,390,69
2022-11-21,2794,1720,163,43
2022-11-22,7483,4682,315,115
2022-11-23,3429,2079,373,58
2022-11-24,6515,3971,533,106
2022-11-25,9407,5979,515,155
2022-11-26,4338,2669,578,66
2022-11-27,5425,3316,539,90
2022-11-28,4522,2770,393,69
2022-11-29,8040,5192,455,135
2022-11-30,6187,3955,695,105
2022-12-01,554,335,49,8
2022-12-03,2478,1512,134,39
2022-12-04,5596,3447,339,89
2022-12-05,3808,2320,415,65
2022-12-06,1359,849,96,21
2022-12-09,10965,6900,1080,178
2022-12-10,10154,6185,1065,160
2022-12-11,1924,1164,218,32
2022-12-12,1967,1190,209,35
2022-12-13,2580,1574,299,43
2022-12-14,7248,4619,584,120
2022-12-15,8056,5172,603,137
2022-12-16,14162,8978,1068,234
2022-12-17,6884,4331,429,112
2022-12-19,3931,2401,272,63
2022-12-20,7728,5548,3121,194
2022-12-21,4146,2525,276,63
2022-12-22,4082,2690,919,75
2022-12-23,5333,3268,505,84
2022-12-24,4852,2934,364,81
2022-12-25,6035,3688,585,105
2022-12-26,4860,2970,377,77
2022-12-27,4397,2668,436,76
2022-12-28,1153,697,129,23
2022-12-29,0,0,0,0
2022-12-30,3290,2012,213,55
2022-12-31,6824,4168,478,106
2023-01-01,4374,2650,373,64
2023-01-02,3981,2463,249,64
2023-01-03,1238,759,192,15
2023-01-04,6843,4415,345,120
2023-01-05,7284,4799,206,125
2023-01-06,8042,5223,466,134
2023-01-07,4051,2450,331,61
2023-01-08,7610,5037,296,132
2023-01-10,7588,4902,512,131
2023-01-11,8289,5247,637,134
2023-01-12,7859,4997,580,136
2023-01-13,564,358,120,9
2023-01-14,10612,6526,1077,167
2023-01-15,4566,2774,562,77
2023-01-16,1344,813,116,22
2023-01-17,5678,3600,515,93
2023-01-18,8155,5125,685,128
2023-01-19,6076,3778,686,102
2023-01-20,9665,6261,639,165
2023-01-21,15115,9396,1278,240
2023-01-22,4798,2949,477,74
2023-01-23,7527,4766,558,123
2023-01-24,3742,2270,394,58
2023-01-25,6776,4363,607,117
2023-01-26,6357,3988,676,100
2023-01-27,9581,6175,1021,159
2023-01-28,11606,7705,547,206
2023-01-29,82,50,14,2
2023-02-01,3017,1884,229,48
2023-02-02,2732,1661,277,42
2023-02-03,8216,5313,660,138
2023-02-04,5059,3114,428,85
2023-02-05,8741,6041,496,160
2023-02-06,7739,4867,690,131
2023-02-07,6980,4440,868,118
2023-02-08,6804,4424,919,124
2023-02-09,913,589,151,16
2023-02-10,1370,829,120,22
2023-02-11,5156,3139,409,87
2023-02-12,1973,1201,138,33
2023-02-13,4227,2574,359,68
2023-02-14,11682,7787,531,208
2023-02-15,7016,4533,449,114
2023-02-16,6589,4217,597,117
2023-02-17,8034,5058,825,136
2023-02-18,14411,9070,1158,231
2023-02-19,0,0,0,0
2023-02-20,0,0,0,0
2023-02-21,6886,4472,481,119
2023-02-22,6084,3938,433,105
2023-02-23,15038,10436,673,271
2023-02-24,7244,4590,462,124
2023-02-25,5321,3257,562,84
2023-02-26,7630,4784,461,127
2023-02-27,7814,5019,591,132
2023-02-28,5317,3360,471,89
2023-03-01,7293,4612,795,120
2023-03-02,3437,2212,343,54
2023-03-13,2275,1376,190,39
2023-03-14,1958,1204,222,32
2023-03-15,6204,3818,406,93
2023-03-16,6212,3790,651,103
2023-03-17,6274,3912,644,110
2023-03-18,4559,2781,244,69
2023-03-19,4033,2466,316,69
2023-03-20,1928,1166,127,29
2023-03-21,7099,4448,669,117
2023-03-22,6963,4525,498,120
2023-03-23,10831,6854,638,174
2023-03-24,5524,3590,451,93
2023-04-01,0,0,0,0
2023-04-02,1975,1214,105,31
2023-04-03,7649,4870,653,130
2023-04-04,11483,7530,927,193
2023-04-05,3912,2381,425,62
2023-04-06,7471,4722,391,121
2023-04-07,9692,6492,554,167
2023-04-08,4540,2805,426,74
2023-04-09,8799,5455,681,136
2023-04-10,8122,5220,792,143
2023-04-11,7744,4871,636,127
2023-04-12,7369,4825,455,126
2023-04-13,7085,4496,643,118
2023-04-14,6625,4134,591,114
2023-04-15,25,15,13,0
2023-04-17,7658,4872,863,124
2023-04-18,7891,5027,599,129
2023-04-19,8533,5324,568,138
2023-04-20,8745,5535,531,137
2023-04-21,8646,5317,796,135
2023-04-22,4659,2874,416,79
2023-04-23,31,19,0,1
2023-04-25,8607,5513,736,143
2023-04-26,488,297,43,9
2023-04-27,7556,4844,529,120
2023-04-28,5235,3207,427,88
2023-04-29,5720,3488,666,102
2023-04-30,3774,2313,381,61
2023-05-01,4930,3190,670,83
2023-05-02,5730,3759,362,95
2023-05-03,6950,4448,515,119
2023-05-04,5733,3765,307,99
2023-05-05,6475,4294,304,108
2023-05-06,0,0,0,0
2023-05-07,8912,5574,707,145
2023-05-08,6805,4366,439,119
2023-05-09,13536,8886,682,229
2023-05-10,3927,2464,235,63
2023-05-11,6460,4249,487,110
2023-05-12,12720,8462,637,221
2023-05-13,8157,4990,869,132
2023-05-14,10047,6157,1024,153
2023-05-15,6984,4390,489,108
2023-05-17,15747,10350,870,261
2023-05-18,11823,7405,883,183
2023-05-19,13983,8984,1318,224
2023-05-20,12432,9345,6174,351
2023-05-21,5589,3404,466,89
2023-05-22,9853,7167,4081,253
2023-05-23,9497,5820,880,155
2023-05-24,12,7,0,0
2023-06-27,1038,667,601,7
2023-06-28,6419,3946,3297,26
2023-06-29,5798,3549,2859,28
2023-06-30,4738,2878,2287,10
2023-07-01,8064,4940,4085,42
2023-07-02,5819,3571,2968,23
2023-07-03,6743,4343,3402,64
2023-07-04,3470,2133,1671,10
2023-07-05,5929,3696,3093,183
2023-07-06,5074,3112,2527,32
2023-07-07,4397,2742,2256,20
2023-07-08,7632,4947,4037,46
2023-07-09,4994,3110,2622,26
2023-07-10,5904,3709,2974,37
2023-07-11,4771,2920,2501,25
2023-07-12,4967,3007,2588,5
2023-07-13,6661,4110,3443,26
2023-07-14,4700,2919,2451,16
2023-07-15,4761,2974,2543,19
2023-07-16,12274,8165,6284,323
2023-07-17,3870,2379,2031,189
2023-07-18,7276,4862,3762,127
2023-07-19,9911,6637,5101,99
2023-07-20,5909,4040,3080,68
2023-07-21,10017,6124,4874,44
2023-07-22,4188,2566,2062,23
2023-07-23,6978,4726,3756,80
2023-07-24,9316,6409,4867,115
2023-07-25,10673,6832,5436,87
2023-07-26,7222,4640,3643,72
2023-07-27,7353,4742,3708,75
2023-07-28,7459,4818,3793,70
2023-07-29,2924,1781,1501,8
2023-07-30,2161,1308,1098,6
2023-07-31,8253,5159,4067,63
2023-08-01,10664,7006,5432,121
2023-08-02,6316,4264,3361,67
2023-08-03,5364,3642,2858,56
2023-08-04,7174,4587,3655,76
2023-08-05,3101,1890,1590,12
2023-08-06,3441,2083,1828,3
2023-08-07,6937,4219,3550,23
2023-08-08,3111,1895,1635,4
2023-08-09,5486,3382,2864,23
2023-08-10,3963,2508,2010,26
2023-08-11,5646,3593,3042,45
2023-08-12,4775,2918,2490,25
2023-08-13,4713,2852,2461,9
2023-08-14,8354,5369,4241,73
2023-08-15,9070,5808,4689,83
2023-08-16,27283,19191,14741,409
2023-08-17,1246,754,567,5
2023-08-18,5860,3621,2976,22
2023-08-19,20436,13793,10482,269
2023-08-20,17320,11805,9004,222
2023-08-21,15814,10930,8133,224
2023-08-22,17464,12241,9300,248
2023-08-23,15260,10660,8075,217
2023-08-24,11114,7752,5777,152
2023-08-25,13887,9882,7414,195
2023-08-26,9948,6781,5189,117
2023-08-27,12402,8515,6488,149
2023-08-28,14155,9766,7475,187
2023-08-29,15630,10507,8052,197
2023-08-30,11769,8126,6130,162
2023-08-31,5222,3322,2629,42
2023-09-01,10019,6756,5179,114
2023-09-02,3878,2369,2000,10
2023-09-03,5200,3149,2648,14
2023-09-04,6551,4034,3250,30
2023-09-05,14727,10114,7818,190
2023-09-06,21394,15204,11449,357
2023-09-07,15910,11228,8596,220
2023-09-08,13913,9427,7293,173
2023-09-09,4980,3288,2536,38
2023-09-10,4157,2651,2170,29
2023-09-11,11913,8180,6114,152
2023-09-12,14019,9584,7309,184
2023-09-13,13460,9085,7116,178
2023-09-14,11264,7807,5906,146
2023-09-15,13582,9094,7010,161
2023-09-16,10768,7201,5542,132
2023-09-17,8966,6063,4667,116
2023-09-18,13340,9484,7069,189
2023-09-19,13604,9311,7213,165
2023-09-20,11931,7962,6080,134
2023-09-21,9601,6561,4972,130
2023-09-22,8109,5434,4140,97
2023-09-23,5921,3632,3031,26
2023-09-24,400,242,160,0
2023-09-26,15617,10775,8174,211
2023-09-27,19175,13825,10360,565
2023-09-28,9135,6313,4867,116
2023-09-29,11422,7615,5899,138
2023-09-30,14386,9841,7655,180
2023-10-01,5766,3731,2891,53
2023-10-02,14247,9576,7473,172
2023-10-03,13300,9227,7033,188
2023-10-04,9056,6016,4706,99
2023-10-05,10925,7516,5719,152
2023-10-06,15720,11139,8359,234
2023-10-07,15722,11143,8427,212
2023-10-08,6981,4720,3659,84
2023-10-09,8141,5626,4289,97
2023-10-10,11735,8095,6005,154
2023-10-11,12755,8678,6751,167
2023-10-12,8334,5638,4392,109
2023-10-13,8721,5665,4526,83
2023-10-14,8544,5391,4434,57
2023-10-15,6642,4229,3438,44
2023-10-16,10955,7657,5675,155
2023-10-17,15836,10842,8112,228
2023-10-18,12952,8736,6723,162
2023-10-19,11951,8256,6197,151
2023-10-20,10576,7327,5645,137
2023-10-21,13495,8896,6927,142
2023-10-22,4672,3126,2526,45
2023-10-23,13973,9688,7387,176
2023-10-24,10782,7351,5530,141
2023-10-25,13357,9378,7230,196
2023-10-26,11384,7888,5899,160
2023-10-27,10117,6935,5274,129
2023-10-28,7085,4594,3694,64
2023-10-29,12610,8563,6555,152
2023-10-30,12851,8675,6649,166
2023-10-31,11152,7480,5710,139
2023-11-01,2259,1491,1116,27
2023-11-02,0,0,0,0
2023-11-03,7947,5431,4182,94
2023-11-04,3747,2361,1911,21
2023-11-05,4233,2567,2161,14
2023-11-06,2125,1315,1125,7
2023-11-07,10917,7484,5696,145
2023-11-08,9737,6563,5058,121
2023-11-09,11239,7746,5906,152
2023-11-10,16061,11125,8525,221
2023-11-11,5211,3419,2801,46
2023-11-12,2613,1603,1313,11
2023-11-15,6329,4437,3272,88
2023-11-16,8527,5726,4386,115
2023-11-17,9330,6260,4932,96
2023-11-18,3552,2158,1839,6
2023-11-19,2707,1654,1434,4
2023-11-20,5125,3157,2623,23
2023-11-21,9691,6264,4986,90
2023-11-22,4536,2812,2324,32
2023-11-27,8802,6076,4655,111
2023-11-28,12643,8780,6442,182
2023-11-29,15150,10664,7994,210
2023-11-30,13353,9156,6903,185
2023-12-01,9783,6577,5061,114
2023-12-02,73,44,39,0
2023-12-03,16612,12229,9230,442
2023-12-04,10899,7486,5758,138
2023-12-05,8461,5973,4525,118
2023-12-06,8841,6251,4696,118
2023-12-07,5424,3837,2880,79
2023-12-08,7025,4796,3564,84
2023-12-09,8350,5450,4235,92
2023-12-10,5410,3524,2770,52
2023-12-11,13827,9188,7165,153
2023-12-12,4282,2663,2080,28
2023-12-13,5122,3251,2693,36
2023-12-14,1742,1065,885,4
2023-12-15,2838,1731,1402,15
2023-12-16,1036,627,473,3
2023-12-17,5573,3438,2882,24
2023-12-18,2327,1407,1112,4
2023-12-19,272,165,141,0
2023-12-20,3144,1925,1617,12
2023-12-21,3511,2192,1820,19
2023-12-22,3821,2326,1933,18
2023-12-23,3538,2170,1793,16
2023-12-24,3183,1942,1600,8
2023-12-25,6481,4678,3479,85
2023-12-26,4798,2931,2446,20
2023-12-27,7855,5428,4126,118
2023-12-28,9164,5928,4636,94
2023-12-29,5678,3768,3019,48
2023-12-30,2724,1647,1415,3
2023-12-31,6760,4264,3402,41
2024-01-01,11803,8960,6758,274
2024-01-02,156,94,87,0
2024-01-03,0,0,0,0
2024-01-04,5687,3550,2897,23
2024-01-05,11003,7424,5833,247
2024-01-06,4529,2767,2233,14
2024-01-07,6724,4525,3710,136
2024-01-08,1205,729,588,3
2024-01-09,2975,1916,1484,25
2024-01-10,4788,2952,2458,12
2024-01-11,2484,1539,1231,6
2024-01-12,3202,1950,1684,7
2024-01-13,4420,2676,2309,11
2024-01-14,7691,4872,3889,47
2024-01-26,0,0,0,0
2024-01-27,3667,2330,1770,32
2024-01-28,2695,1634,1363,8
2024-01-29,10226,7204,5516,130
2024-01-30,8228,5696,4324,105
2024-01-31,8546,5911,4499,115
2024-02-01,55,33,26,0
2024-02-02,8166,5533,4243,97
2024-02-03,5795,3831,3009,55
2024-02-04,543,349,293,3
2024-02-05,7600,5281,4010,95
2024-02-06,4500,3137,2411,60
2024-02-07,2536,1709,1314,33
2024-02-08,9539,6388,4895,128
2024-02-09,11712,7975,6136,150
2024-02-10,4110,2721,2155,40
2024-02-11,2002,1321,1054,14
2024-02-12,5153,3395,2613,54
2024-02-13,8,5,0,0
2024-02-14,8174,5630,4253,102
2024-02-15,9951,6802,5196,135
2024-02-16,9015,6038,4605,109
2024-02-17,18470,13221,10024,408
2024-02-18,8811,5831,4388,114
2024-02-19,10865,7627,5776,151
2024-02-20,2432,1670,1279,29
2024-02-21,14388,10703,7994,283
2024-02-22,10869,7772,5986,155
2024-02-23,12679,8968,6710,188
2024-02-24,5641,3650,2906,39
2024-02-25,5500,3658,2914,67
2024-03-02,475,287,238,0
2024-03-03,2753,1728,1412,19
2024-03-04,8077,5630,4252,104
2024-03-05,5601,3888,2937,77
2024-03-06,8579,5851,4372,107
2024-03-07,5858,4117,3085,81
2024-03-21,5892,4004,2977,88
2024-03-22,15936,11181,8440,221
2024-03-23,7551,5083,3881,99
2024-03-24,10913,7610,5702,153
2024-03-25,10823,7626,5701,148
2024-03-26,6738,4584,3489,82
2024-03-27,11155,7609,5732,146
2024-03-28,4460,2971,2266,49
2024-03-29,15463,10446,7983,187
2024-03-30,2700,1647,1349,10
2024-04-01,7673,5131,3904,94
2024-04-02,9521,6424,4938,122
2024-04-03,10614,7424,5552,153
2024-04-04,10134,7178,5410,140
2024-04-05,10590,7343,5524,160
2024-04-06,9514,6282,4991,106
2024-04-07,8893,6074,4778,109
2024-04-08,12739,8624,6510,169
2024-04-09,10331,7316,5517,147
2024-04-10,8944,5805,4769,87
2024-04-11,0,0,0,0
2024-04-12,8723,6014,4560,113
2024-04-13,2681,1639,1423,10
2024-04-14,3662,2229,1865,9
2024-04-15,13333,9175,7040,173
2024-04-16,9203,6192,4739,118
2024-04-17,0,0,0,0
2024-04-18,6162,4228,3255,78
2024-04-19,10809,7471,5708,147
2024-04-20,6583,4574,3483,92
2024-04-21,6141,4175,3154,79
2024-04-22,8386,5617,4366,102
2024-04-23,9808,6843,5109,146
2024-04-24,13811,9338,7160,171
2024-04-25,6717,4675,3609,90
2024-04-26,15450,10760,8280,203
2024-04-27,5974,4186,3166,81
2024-04-28,8224,5640,4325,111
2024-04-29,12979,8848,6899,162
2024-04-30,988,683,566,12
2024-05-01,4419,2859,2280,42
2024-05-02,13122,9131,6847,177
2024-05-03,8965,6216,4465,120
2024-05-04,13521,9440,7257,193
2024-05-05,8402,5720,4350,103
2024-05-06,10205,6799,5280,107
2024-05-07,5188,3177,2678,22
2024-05-08,4866,2986,2517,12
2024-05-09,4726,2973,2505,34
2024-05-10,3622,2245,1911,19
2024-05-11,3998,2464,1997,10
2024-05-12,9890,6975,5465,243
2024-05-13,6373,4208,3286,55
2024-05-14,2993,1840,1540,9
2024-05-15,2233,1351,1152,6
2024-05-16,4083,2505,2101,18
2024-05-17,6553,4195,3349,61
2024-05-18,682,424,342,3
2024-05-19,6445,5237,3928,282
2024-05-20,4694,2911,2417,25
2024-05-21,7534,5137,3995,95
2024-05-22,10995,8312,6413,398
2024-05-23,6537,4517,3555,99
2024-05-24,5131,3157,2589,25
2024-05-25,2601,1609,1319,14
2024-05-27,36,22,19,0
