type,startTime,sportTime(s),maxPace(/meter),minPace(/meter),distance(m),avgPace(/meter),calories(kcal)
1,2024-05-24 01:16:13+0000,763,0.18983015,0.0,2528.0,0.30217937,78.0
1,2024-05-23 01:03:18+0000,2149,0.20213981,0.0,6474.0,0.33195466,373.0
1,2024-05-21 23:08:37+0000,404,0.24141613,0.0,1340.0,0.30140877,38.0
1,2024-05-20 01:17:34+0000,524,0.29774275,0.0,1519.0,0.34434518,68.0
1,2024-05-20 00:57:18+0000,1183,0.2463584,0.0,3591.0,0.3292654,211.0
1,2024-05-13 00:58:16+0000,1650,0.20044693,0.0,4368.0,0.37771833,229.0
1,2024-02-25 18:45:55+0000,375,0.48020098,0.0,104.0,3.5757914,19.0
1,2024-02-17 23:14:01+0000,1545,0.2197789,0.0,3715.0,0.41579822,195.0
1,2024-01-07 22:00:09+0000,875,0.24693386,0.0,2413.0,0.36267227,122.0
1,2024-01-05 22:54:46+0000,1498,0.24671878,0.0,3791.0,0.39524326,207.0
1,2023-12-03 23:09:41+0000,1011,0.2421289,0.0,2670.0,0.37894854,139.0
1,2023-12-03 22:51:27+0000,847,0.28230575,0.0,2447.0,0.34580418,116.0
1,2023-10-17 04:32:23+0000,102,0.0,0.0,0.0,0.0,6.0
1,2023-10-04 05:57:59+0000,12,0.0,0.0,3.0,3.3818972,0.0
1,2023-09-27 23:01:55+0000,2757,0.26610196,0.0,6671.0,0.41332453,421.0
9,2023-09-23 17:05:36+0000,10,0.0,0.0,0.0,0.0,0.0
9,2023-07-30 06:33:15+0000,6,0.0,0.0,0.0,0.0,0.0
6,2023-07-22 07:39:38+0000,4,0.0,0.0,0.0,0.0,0.0
6,2023-07-19 00:56:27+0000,1540,0.20899762,0.0,2371.0,0.64978474,105.0
6,2023-07-16 20:03:30+0000,5614,0.57636887,0.0,5344.0,1.0505276,349.0
8,2023-07-15 06:28:25+0000,4,0.0,0.0,0.0,0.0,0.0
9,2023-07-06 01:34:27+0000,1582,0.0,0.0,0.0,0.0,159.0
1,2023-06-28 04:29:26+0000,17,0.0,0.0,0.0,0.0,0.0
1,2023-05-23 00:11:01+0000,1608,4.02,0.239,5158.0,0.311,223.0
1,2023-05-20 23:55:55+0000,2449,3.429,0.194,7422.0,0.329,366.0
1,2022-12-22 23:05:58+0000,655,3.295,0.431,812.0,0.806,31.0
1,2022-12-20 23:27:43+0000,1404,2.471,0.418,2419.0,0.58,141.0
1,2022-11-19 19:07:51+0000,3334,3.295,0.635,124.0,26.673,2.0
1,2022-11-06 23:04:00+0000,2872,3.752,0.241,9408.0,0.305,381.0
1,2022-10-15 23:06:41+0000,1211,1.372,0.24,4193.0,0.288,198.0
1,2022-10-12 21:36:22+0000,2513,3.295,0.437,4166.0,0.603,322.0
1,2022-10-12 07:20:33+0000,219,3.295,0.556,70.0,3.103,3.0
1,2022-10-10 23:04:05+0000,3827,1.648,0.353,6567.0,0.582,449.0
1,2022-02-15 13:37:48+0000,569,1.648,0.39,1094.0,0.52,67.0
1,2022-02-14 23:49:17+0000,1519,1.977,0.405,2490.0,0.61,130.0
1,2022-01-30 23:44:39+0000,1496,1.977,0.417,1919.0,0.779,139.0
1,2022-01-21 23:44:47+0000,1447,2.186,0.221,4849.0,0.298,201.0
1,2022-01-19 23:49:28+0000,886,1.977,0.215,2149.0,0.412,108.0
1,2022-01-19 23:30:30+0000,897,4.048,0.207,3243.0,0.276,132.0
1,2022-01-17 23:31:18+0000,1400,3.244,0.188,4722.0,0.296,176.0
1,2021-12-31 23:08:45+0000,2125,2.119,0.211,6511.0,0.326,236.0
1,2021-12-30 23:07:06+0000,1936,2.778,0.234,6420.0,0.301,263.0
1,2021-12-27 23:11:53+0000,393,2.908,0.203,1500.0,0.261,52.0
1,2021-12-27 23:03:54+0000,416,1.458,0.197,1497.0,0.277,54.0
1,2021-12-26 22:34:47+0000,1418,1.991,0.127,5402.0,0.262,148.0
1,2021-12-25 23:06:47+0000,2037,3.73,0.217,6535.0,0.311,264.0
1,2021-12-21 22:27:29+0000,1291,2.471,0.428,2326.0,0.554,95.0
